website,item,product,time,price
CoolBlue,strijkdeken,Brabantia Strijkdeken 65x120 cm,2021-07-08 21:03:31,29.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8149/01,2021-07-08 21:03:50,569.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 8000 XC8049/01,2021-07-08 21:03:50,399.0
CoolBlue,steelstofzuiger,Dyson V8 Absolute +,2021-07-08 21:03:50,349.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra Pro,2021-07-08 21:03:50,699.0
CoolBlue,steelstofzuiger,Dyson V11 Torque Drive Extra,2021-07-08 21:03:50,499.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 6 BCS61BAT2,2021-07-08 21:03:50,279.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 760 RH9571,2021-07-08 21:03:50,399.95
CoolBlue,steelstofzuiger,Samsung Jet 75 Pro + Samsung Clean Station,2021-07-08 21:03:50,678.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra,2021-07-08 21:03:50,549.0
CoolBlue,steelstofzuiger,AEG QX9-1-ALRG,2021-07-08 21:03:50,329.0
CoolBlue,steelstofzuiger,Dyson V8 Animal +,2021-07-08 21:03:50,349.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 7000 XC7041/01,2021-07-08 21:03:50,287.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 560 RH9474,2021-07-08 21:03:51,269.0
CoolBlue,steelstofzuiger,Dyson Cyclone V10 Motorhead,2021-07-08 21:03:51,449.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 8 BBS812AM,2021-07-08 21:03:51,399.0
CoolBlue,steelstofzuiger,Samsung Jet 75 Complete,2021-07-08 21:03:51,439.0
CoolBlue,steelstofzuiger,Rowenta X-Force Flex 11.60 RH9879,2021-07-08 21:03:51,299.0
CoolBlue,steelstofzuiger,Dyson V11 Parquet Extra,2021-07-08 21:03:51,499.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8147/01,2021-07-08 21:03:51,549.99
CoolBlue,steelstofzuiger,Philips SpeedPro Aqua FC6728/01,2021-07-08 21:03:51,349.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra + Dyson Extension Hose,2021-07-08 21:03:51,576.99
CoolBlue,steelstofzuiger,Veripart VPSS103 steelstofzuiger,2021-07-08 21:03:51,169.0
CoolBlue,vaatwasser,AEG FSE63757P / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-08 21:04:12,779.0
CoolBlue,vaatwasser,AEG FSB53907Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,699.0
CoolBlue,vaatwasser,ATAG DW7114XB / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,999.0
CoolBlue,vaatwasser,AEG FSE63617P/ Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-08 21:04:12,679.0
CoolBlue,vaatwasser,Bosch SMS25AI04E / Vrijstaand,2021-07-08 21:04:12,449.0
CoolBlue,vaatwasser,Whirlpool WIO 3T141 PES / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-08 21:04:12,649.0
CoolBlue,vaatwasser,AEG FUE53610ZM / Inbouw / Onderbouw / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,649.0
CoolBlue,vaatwasser,AEG FSB52907Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,539.0
CoolBlue,vaatwasser,Whirlpool WIC 3C33 PE / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-08 21:04:12,549.0
CoolBlue,vaatwasser,Whirlpool WKIC 3C26 / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-08 21:04:12,479.0
CoolBlue,vaatwasser,AEG FSB52617Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,569.0
CoolBlue,vaatwasser,Inventum VVW7040S++ / Vrijstaand,2021-07-08 21:04:12,399.0
CoolBlue,vaatwasser,AEG FFB53600ZW / Vrijstaand,2021-07-08 21:04:12,549.0
CoolBlue,vaatwasser,AEG FSB53607Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,679.0
CoolBlue,vaatwasser,"Miele G 7150 Vi / Inbouw / Volledig geïntegreerd / Nishoogte 80,5 - 87 cm",2021-07-08 21:04:12,1209.0
CoolBlue,vaatwasser,Miele G 5222 SC CLST / Vrijstaand,2021-07-08 21:04:12,979.0
CoolBlue,vaatwasser,Inventum VVW7040++ / Vrijstaand,2021-07-08 21:04:12,349.0
CoolBlue,vaatwasser,AEG FFB63700PM / Vrijstaand,2021-07-08 21:04:12,629.0
CoolBlue,vaatwasser,Whirlpool WFC 3C26 P / Vrijstaand,2021-07-08 21:04:12,432.0
CoolBlue,vaatwasser,ETNA VW339M / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-08 21:04:12,429.0
CoolBlue,vaatwasser,"Siemens SR73HX76ME / Volledig geïntegreerd / Nishoogte 81,5 - 87,5 cm",2021-07-08 21:04:12,799.0
CoolBlue,vaatwasser,Whirlpool OWFC 3C26 X / Vrijstaand,2021-07-08 21:04:12,409.0
CoolBlue,printer,Canon i-Sensys MF643Cdw,2021-07-08 21:04:32,329.0
CoolBlue,printer,Epson ET-2721 Startpakket,2021-07-08 21:04:32,294.99
CoolBlue,printer,Epson EcoTank ET-2721,2021-07-08 21:04:32,219.0
CoolBlue,printer,HP ENVY Photo 6234 All-in-One,2021-07-08 21:04:32,109.0
CoolBlue,printer,HP Deskjet 2710e,2021-07-08 21:04:32,59.95
CoolBlue,printer,HP PageWide Pro 477dw,2021-07-08 21:04:32,649.0
CoolBlue,printer,HP ENVY 6022e All-in-One,2021-07-08 21:04:32,99.0
CoolBlue,printer,Startpakket HP PageWide Pro 477dw,2021-07-08 21:04:32,1169.91
CoolBlue,printer,HP ENVY Photo 7830 All-in-One,2021-07-08 21:04:32,142.0
CoolBlue,printer,Canon PIXMA MegaTank G3520,2021-07-08 21:04:32,229.0
CoolBlue,printer,Epson EcoTank ET-4750,2021-07-08 21:04:32,376.0
CoolBlue,printer,HP OfficeJet Pro 7740 All-in-One (G5J38A),2021-07-08 21:04:32,249.0
CoolBlue,printer,HP LaserJet Pro MFP M28w,2021-07-08 21:04:32,169.0
CoolBlue,printer,HP OfficeJet Pro 9012e All-in-One,2021-07-08 21:04:32,209.0
CoolBlue,printer,Epson EcoTank ET-3700,2021-07-08 21:04:32,329.0
CoolBlue,printer,HP Color LaserJet Enterprise MFP M480f,2021-07-08 21:04:32,669.0
CoolBlue,printer,Canon PIXMA TS5150 Zwart,2021-07-08 21:04:32,95.0
CoolBlue,printer,HP Laser 107w,2021-07-08 21:04:32,129.0
CoolBlue,printer,Epson EcoTank ET-2750,2021-07-08 21:04:32,249.0
CoolBlue,printer,HP Neverstop Laser MFP 1202nw,2021-07-08 21:04:32,270.0
CoolBlue,printer,Epson Expression Home XP-2100,2021-07-08 21:04:32,69.0
CoolBlue,printer,HP OfficeJet Pro 7730 All-in-one,2021-07-08 21:04:32,219.0
CoolBlue,loopband,Flow Fitness Kingston Pro i,2021-07-08 21:04:52,799.0
CoolBlue,loopband,Flow Fitness Kingston i,2021-07-08 21:04:52,649.0
CoolBlue,loopband,Tunturi FitRun 50i,2021-07-08 21:04:52,749.0
CoolBlue,loopband,VirtuFit Run Fit Foldable,2021-07-08 21:04:52,499.0
CoolBlue,loopband,VirtuFit TR-100,2021-07-08 21:04:52,699.0
CoolBlue,loopband,Flow Fitness DTM 400i,2021-07-08 21:04:52,999.0
CoolBlue,loopband,Tunturi FitRun 70i,2021-07-08 21:04:52,999.0
CoolBlue,loopband,Tunturi FitRun 90i PRO,2021-07-08 21:04:52,1399.0
CoolBlue,loopband,Flow Fitness Runner DTM100i WalkingPad,2021-07-08 21:04:52,599.0
CoolBlue,loopband,VirtuFit TR-200i,2021-07-08 21:04:52,999.0
CoolBlue,loopband,Flow Fitness DTM300i,2021-07-08 21:04:52,799.0
CoolBlue,loopband,Tunturi FitRun 30,2021-07-08 21:04:52,729.0
CoolBlue,loopband,Tunturi FitRun 40i,2021-07-08 21:04:52,899.0
CoolBlue,loopband,Flow Fitness DTM200i,2021-07-08 21:04:52,699.0
CoolBlue,loopband,ProForm Performance 375i,2021-07-08 21:04:52,699.0
CoolBlue,tondeuse,Philips Series 7000 HC7650/15,2021-07-08 21:05:12,54.99
CoolBlue,tondeuse,Philips HC5650/15 + Philips QP2630/30,2021-07-08 21:05:12,84.99
CoolBlue,tondeuse,Philips Series 5000 HC5650/15,2021-07-08 21:05:12,49.99
CoolBlue,tondeuse,Philips Series 9000 HC9450/20,2021-07-08 21:05:12,89.99
CoolBlue,tondeuse,Philips Series 7000 HC7650/15 + Philips OneBlade Pro QP6650/30,2021-07-08 21:05:12,137.0
CoolBlue,tondeuse,Remington HC5880,2021-07-08 21:05:12,73.99
CoolBlue,tondeuse,Philips Series 5000 HC5650/15 + Philips NT5650/16,2021-07-08 21:05:12,75.0
CoolBlue,tondeuse,Wahl Elite Pro Clipper,2021-07-08 21:05:12,89.99
CoolBlue,tondeuse,Philips HC9450/15 + Philips NT3650/16 neustrimmer,2021-07-08 21:05:12,101.99
CoolBlue,tondeuse,Wahl 1902 Lithium Pro LCD,2021-07-08 21:05:12,95.99
