website,item,product,time,price
MediaMarkt,steelstofzuiger,DYSON V11 Absolute Extra Blauw,2021-07-13 20:42:19,549.0
MediaMarkt,steelstofzuiger,DYSON V8 Absolute + Geel,2021-07-13 20:42:19,349.0
MediaMarkt,steelstofzuiger,PHILIPS XC7041/01 Brons,2021-07-13 20:42:19,284.99
MediaMarkt,steelstofzuiger,DYSON V11 Animal Extra Paars,2021-07-13 20:42:19,499.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Flex 760 Total Clean RH9571 Blauw,2021-07-13 20:42:19,399.95
MediaMarkt,steelstofzuiger,BOSCH BCHF220B Readyy'y Serie 2 Zwart,2021-07-13 20:42:19,169.0
MediaMarkt,steelstofzuiger,DYSON V11 Torque Drive Extra Paars,2021-07-13 20:42:19,499.0
MediaMarkt,steelstofzuiger,DYSON V15 Detect Absolute Geel,2021-07-13 20:42:19,699.0
MediaMarkt,steelstofzuiger,SAMSUNG Jet 75 Complete,2021-07-13 20:42:19,439.0
MediaMarkt,steelstofzuiger,AEG CX7-1-30EB Zwart,2021-07-13 20:42:19,139.95
MediaMarkt,steelstofzuiger,SAMSUNG Jet 70 Turbo,2021-07-13 20:42:19,289.0
MediaMarkt,steelstofzuiger,TRISTAR SZ-1980,2021-07-13 20:42:19,86.99
MediaMarkt,steelstofzuiger,DYSON V11 Absolute Extra Pro Blauw,2021-07-13 20:42:19,699.0
MediaMarkt,steelstofzuiger,DYSON V10 Absolute Oranje,2021-07-13 20:42:19,499.99
MediaMarkt,steelstofzuiger,ROWENTA X-Force Flex 11.60 RH9879 Rood,2021-07-13 20:42:19,299.0
MediaMarkt,steelstofzuiger,SAMSUNG POWERstick VS6000 Wit,2021-07-13 20:42:19,199.0
MediaMarkt,steelstofzuiger,BOSCH BCS612KA2 Unlimited 6 Zilver,2021-07-13 20:42:19,288.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Flex 560 RH9471 Blauw,2021-07-13 20:42:19,269.0
MediaMarkt,steelstofzuiger,DYSON V10 Motorhead Rood,2021-07-13 20:42:19,449.0
MediaMarkt,steelstofzuiger,BOSCH BCS812KA2 Unlimited 8 Zilver,2021-07-13 20:42:19,449.0
MediaMarkt,steelstofzuiger,BEKO VRT70925VB Zwart,2021-07-13 20:42:19,149.0
MediaMarkt,steelstofzuiger,KOENIC KVR 29620 Blauw,2021-07-13 20:42:19,109.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force 460 RH9253 Rood,2021-07-13 20:42:19,199.99
MediaMarkt,steelstofzuiger,DYSON V8 Animal+ Zilver,2021-07-13 20:42:19,349.0
MediaMarkt,steelstofzuiger,ROWENTA Air Force Light RH6543 Rood,2021-07-13 20:42:19,94.99
MediaMarkt,vaatwasser,BEKO DFN26320X2MM,2021-07-13 20:42:35,399.0
MediaMarkt,vaatwasser,SAMSUNG DW60M6040BB,2021-07-13 20:42:35,439.0
MediaMarkt,vaatwasser,SHARP QWNA1BF47EWEU,2021-07-13 20:42:35,329.0
MediaMarkt,vaatwasser,OK. ODW6016EFS,2021-07-13 20:42:35,289.99
MediaMarkt,vaatwasser,AEG FSB52617Z,2021-07-13 20:42:35,499.0
MediaMarkt,vaatwasser,SIEMENS SN23HW42VE,2021-07-13 20:42:35,549.0
MediaMarkt,vaatwasser,BOSCH SMS46JW18E,2021-07-13 20:42:35,599.0
MediaMarkt,vaatwasser,SIEMENS SN23HI42VE,2021-07-13 20:42:35,619.0
MediaMarkt,vaatwasser,BEKO DFN26220X2,2021-07-13 20:42:35,369.0
MediaMarkt,vaatwasser,SHARP QWNA1BF47ESEU,2021-07-13 20:42:35,348.98
MediaMarkt,vaatwasser,MIELE G 7100 SC - Vrijstaande vaatwasser,2021-07-13 20:42:35,999.0
MediaMarkt,vaatwasser,BEKO DIN28427,2021-07-13 20:42:35,364.0
MediaMarkt,vaatwasser,SAMSUNG DW60R7040BB/EG,2021-07-13 20:42:35,589.0
MediaMarkt,vaatwasser,BEKO DVN05320W,2021-07-13 20:42:35,350.0
MediaMarkt,vaatwasser,BOSCH SMS6ECI07E,2021-07-13 20:42:35,849.0
MediaMarkt,vaatwasser,BEKO DFN28432W,2021-07-13 20:42:35,399.0
MediaMarkt,vaatwasser,SAMSUNG DW60M6050BB,2021-07-13 20:42:35,511.0
MediaMarkt,vaatwasser,BEKO DIN28426,2021-07-13 20:42:35,418.0
MediaMarkt,vaatwasser,OK. ODW6026EFi,2021-07-13 20:42:35,319.99
MediaMarkt,vaatwasser,AEG FSS62807P,2021-07-13 20:42:35,999.99
MediaMarkt,vaatwasser,WHIRLPOOL WKIC 3C26,2021-07-13 20:42:35,549.0
MediaMarkt,vaatwasser,EVERGLADES EVDW5106,2021-07-13 20:42:35,319.0
MediaMarkt,vaatwasser,ETNA VWV240RVS,2021-07-13 20:42:35,499.0
MediaMarkt,vaatwasser,OK. ODW4516EFS,2021-07-13 20:42:35,319.99
MediaMarkt,vaatwasser,BEKO DFN28432X,2021-07-13 20:42:35,435.0
MediaMarkt,printer,EPSON Expression Home XP-3105,2021-07-13 20:42:51,69.99
MediaMarkt,printer,FUJIFILM INSTAX MINI FILM 5X10 SHOTS,2021-07-13 20:42:51,34.99
MediaMarkt,printer,CANON PRINT PAPIER PRINT & COPY A4 80 G/M,2021-07-13 20:42:51,4.99
MediaMarkt,printer,HP Smart Tank Plus 555 All-in-One,2021-07-13 20:42:51,199.0
MediaMarkt,printer,CANON PIXMA TS5150 Zwart,2021-07-13 20:42:51,79.0
MediaMarkt,printer,CANON PIXMA G3501 Megatank,2021-07-13 20:42:51,199.99
MediaMarkt,printer,EPSON EcoTank ET-2721,2021-07-13 20:42:51,219.0
MediaMarkt,printer,HP DeskJet 2721e,2021-07-13 20:42:51,69.99
MediaMarkt,printer,CANON PIXMA TS7451 - Wit,2021-07-13 20:42:51,109.0
MediaMarkt,printer,HP HP ENVY 6032e All-in-One,2021-07-13 20:42:52,89.99
MediaMarkt,printer,EPSON Expression Premium XP-6105 Wit,2021-07-13 20:42:52,93.49
MediaMarkt,printer,HP 305XL Zwart,2021-07-13 20:42:52,23.99
MediaMarkt,printer,HP DeskJet 4120e,2021-07-13 20:42:52,81.99
MediaMarkt,printer,HP OfficeJet Pro 8022e,2021-07-13 20:42:52,149.0
MediaMarkt,printer,HP ENVY 6020e,2021-07-13 20:42:52,89.99
MediaMarkt,printer,EPSON EcoTank ET-2756,2021-07-13 20:42:52,259.99
MediaMarkt,printer,HP HP Color Laser MFP 179FNW,2021-07-13 20:42:52,289.0
MediaMarkt,printer,HP Laser 107W,2021-07-13 20:42:52,129.0
MediaMarkt,printer,HP ENVY Photo 6220 All-in-One,2021-07-13 20:42:52,99.95
MediaMarkt,printer,HP 304 Zwart/Kleur,2021-07-13 20:42:52,26.99
MediaMarkt,printer,CANON PG-540 Inktcartridge Zwart,2021-07-13 20:42:52,19.49
MediaMarkt,printer,BROTHER HL-L2350DW,2021-07-13 20:42:52,128.99
MediaMarkt,printer,HP ENVY Photo 7830 All-in-One,2021-07-13 20:42:52,136.0
MediaMarkt,printer,CANON Pixma G3520 Megatank,2021-07-13 20:42:52,184.0
MediaMarkt,printer,HP 304 Zwart,2021-07-13 20:42:52,14.99
MediaMarkt,loopband,JAYS m-SIX Roze,2021-07-13 20:43:11,99.99
MediaMarkt,loopband,JAYS m-SIX Groen,2021-07-13 20:43:11,99.99
MediaMarkt,loopband,JAYS m-SIX Bruin,2021-07-13 20:43:11,99.99
MediaMarkt,loopband,JAYS m-SIX Zwart,2021-07-13 20:43:11,99.99
MediaMarkt,tondeuse,REMINGTON HC5035,2021-07-13 20:43:29,22.99
MediaMarkt,tondeuse,PHILIPS Hairclipper Series 5000 HC5632/15 Zwart,2021-07-13 20:43:29,39.99
MediaMarkt,tondeuse,BABYLISSMEN E962E I-PRO 45 Intensive,2021-07-13 20:43:29,59.99
MediaMarkt,tondeuse,PHILIPS HC7650/15,2021-07-13 20:43:29,54.99
MediaMarkt,tondeuse,PHILIPS HC9450/15 Hairclipper series 9000,2021-07-13 20:43:29,67.99
MediaMarkt,tondeuse,REMINGTON HC5810 Genius,2021-07-13 20:43:29,43.99
MediaMarkt,tondeuse,WAHL Close Cut Combo,2021-07-13 20:43:29,59.99
MediaMarkt,tondeuse,PHILIPS HC3530/15,2021-07-13 20:43:29,23.99
MediaMarkt,tondeuse,WAHL HomePro 100 Combo,2021-07-13 20:43:29,18.99
MediaMarkt,tondeuse,WAHL Color Pro Cordless Clipper,2021-07-13 20:43:29,28.49
MediaMarkt,tondeuse,WAHL ChromePro Premium,2021-07-13 20:43:29,59.99
MediaMarkt,tondeuse,REMINGTON Remington Pro Power Titanium Plus Tondeuse HC7151,2021-07-13 20:43:29,36.49
