website,item,product,description,time,price
AH,shampoo,Andrélon Classic shampoo iedere dag,300 ml,2021-07-08 20:48:36,3.99
AH,shampoo,Palmolive Elke dag shampoo met kamille-extract,350 ml,2021-07-08 20:48:36,1.89
AH,shampoo,Andrélon Special shampoo oil & care,300 ml,2021-07-08 20:48:36,5.39
AH,shampoo,Andrélon Classic shampoo hair & body men,300 ml,2021-07-08 20:48:36,4.49
AH,shampoo,Elvive Shampoo color-vive,250 ml,2021-07-08 20:48:36,4.69
AH,shampoo,Andrélon Classic shampoo en conditioner 2 in 1,300 ml,2021-07-08 20:48:36,3.59
AH,shampoo,Head & Shoulders Antiroos shampoo classic clean,285 ml,2021-07-08 20:48:36,5.49
AH,shampoo,Andrélon Shampoo glans zomertarwe,300 ml,2021-07-08 20:48:36,3.15
AH,shampoo,Andrélon Classic shampoo perfecte krul,300 ml,2021-07-08 20:48:36,4.49
AH,shampoo,Andrélon Classic shampoo langer fris,300 ml,2021-07-08 20:48:36,3.99
AH,shampoo,Neutral Normaal shampoo,250 ml,2021-07-08 20:48:36,4.89
AH,shampoo,Loving Blends Honinggoud shampoo,300 ml,2021-07-08 20:48:36,4.29
AH,shampoo,Elvive Multivitamines 2 in 1 shampoo,250 ml,2021-07-08 20:48:36,4.79
AH,shampoo,Andrélon Special shampoo kokos boost,300 ml,2021-07-08 20:48:36,5.39
AH,shampoo,Schwarzkopf Shampoo kids blauw,250 ml,2021-07-08 20:48:36,2.99
AH,shampoo,Andrélon Shampoo anti-roos,300 ml,2021-07-08 20:48:36,4.49
AH,shampoo,Andrélon Classic shampoo iedere dag men,300 ml,2021-07-08 20:48:36,4.49
AH,shampoo,Elvive Shampoo dream lengths,250 ml,2021-07-08 20:48:36,4.99
AH,shampoo,Care Shampoo iedere dag peach,500 ml,2021-07-08 20:48:36,0.89
AH,shampoo,Schwarzkopf Shampoo kids roze,250 ml,2021-07-08 20:48:36,2.99
AH,shampoo,Andrélon Shampoo zomerblond,300 ml,2021-07-08 20:48:36,4.79
AH,shampoo,Elvive Shampoo nutri-gloss,250 ml,2021-07-08 20:48:36,4.39
AH,shampoo,Andrélon Shampoo volume & care,300 ml,2021-07-08 20:48:36,4.79
AH,shampoo,Andrélon Special shampoo zilver care,300 ml,2021-07-08 20:48:36,7.49
AH,shampoo,Care Shampoo iedere dag 7 kruiden,500 ml,2021-07-08 20:48:36,0.89
AH,shampoo,Zwitsal Shampoo baby,200 ml,2021-07-08 20:48:36,3.29
AH,shampoo,Andrélon Droogshampoo verrassend volume,245 ml,2021-07-08 20:48:36,5.99
AH,shampoo,Palmolive Naturals fresh & volume shampoo,350 ml,2021-07-08 20:48:36,2.09
AH,shampoo,Zwitsal Baby shampoo,500 ml,2021-07-08 20:48:36,6.85
AH,shampoo,Guhl Zilver & vitaliteit shampoo,250 ml,2021-07-08 20:48:36,7.49
AH,shampoo,Care Shampoo iedere dag men,500 ml,2021-07-08 20:48:36,0.89
AH,shampoo,Schwarzkopf Shampoo 7 kruiden,400 ml,2021-07-08 20:48:37,2.39
AH,shampoo,Elvive Extraordinary shampoo,250 ml,2021-07-08 20:48:37,4.99
AH,shampoo,Andrélon Shampoo prinses,300 ml,2021-07-08 20:48:37,3.89
AH,shampoo,Head & Shoulders Antiroos shampoo jeukende hoofdhuid,285 ml,2021-07-08 20:48:37,5.49
AH,shampoo,Elvive Shampoo extraordinary clay,250 ml,2021-07-08 20:48:37,4.99
AH,boter,De Zaanse Hoeve Roomboter ongezouten,250 g,2021-07-08 20:48:57,1.89
AH,boter,AH Halvarine lekker op brood,500 g,2021-07-08 20:48:57,0.75
AH,boter,Blue Band Halvarine 100% vegan met 8 vitamines,500 g,2021-07-08 20:48:57,1.49
AH,boter,AH Roomboter ongezouten in de kuip,250 g,2021-07-08 20:48:57,2.39
AH,boter,AH Roomboter ongezouten,250 g,2021-07-08 20:48:57,2.35
AH,boter,AH Goed begin - lekker op brood,500 g,2021-07-08 20:48:57,0.95
AH,boter,AH Biologisch Roomboter ongezouten,250 g,2021-07-08 20:48:57,2.55
AH,boter,Becel Light vegan halvarine voordeelpak,575 g,2021-07-08 20:48:57,3.09
AH,boter,"Blue Band 100% vegan voor koken, bakken en braden",250 g,2021-07-08 20:48:57,1.45
AH,boter,Blue Band Goede start! 100% vegan met 8 vitamines,500 g,2021-07-08 20:48:57,1.75
AH,boter,Campina Botergoud ongezouten grasboter,250 g,2021-07-08 20:48:57,2.59
AH,boter,Flower Farm Smeren zonder palm,375 g,2021-07-08 20:48:57,2.29
AH,boter,AH Kruidenboter,100 g,2021-07-08 20:48:57,0.99
AH,boter,Blue Band Iedere dag vloeibaar vegan voordeelfles,750 ml,2021-07-08 20:48:57,2.25
AH,boter,Croma Bakken en braden met vitamine a & d,250 g,2021-07-08 20:48:57,1.55
AH,boter,Croma Bakken en braden vloeibaar xl-verpakking,750 ml,2021-07-08 20:48:57,3.69
AH,boter,AH Vloeibaar basis,"0,75 l",2021-07-08 20:48:57,1.29
AH,boter,AH Zeezoutboter,100 g,2021-07-08 20:48:57,1.39
AH,boter,Becel Original vegan margarine voordeelpak,575 g,2021-07-08 20:48:57,3.19
AH,boter,AH Vloeibaar bak en braden,"0,5 l",2021-07-08 20:48:57,1.19
AH,boter,AH Light,500 g,2021-07-08 20:48:57,0.75
AH,boter,Lurpak Smeerbaar ongezouten,250 g,2021-07-08 20:48:57,2.39
AH,boter,AH Roomboter gezouten in de kuip,250 g,2021-07-08 20:48:57,2.39
AH,boter,"Blue Band Voor koken, bakken en braden voordeelpak",500 g,2021-07-08 20:48:57,2.39
AH,boter,Becel Light vegan halvarine met omega 3,250 g,2021-07-08 20:48:57,1.65
AH,boter,Campina Botergoud ongezouten grasboter kuipje,225 g,2021-07-08 20:48:57,2.59
AH,boter,Campina Botergoud ongezouten roomboter,250 g,2021-07-08 20:48:57,2.39
AH,boter,AH Kruidenboter met knoflook,110 g,2021-07-08 20:48:57,2.00
AH,boter,Blue Band Iedere dag vloeibaar 100% vegan,500 ml,2021-07-08 20:48:57,1.95
AH,boter,Becel Romig vegan margarine voordeelpak,575 g,2021-07-08 20:48:57,3.09
AH,boter,Lurpak Smeerbaar gezouten,250 g,2021-07-08 20:48:57,2.35
AH,boter,Becel Original vegan margarine met omega 3,250 g,2021-07-08 20:48:57,1.65
AH,boter,Flower Farm Smeren zonder palmolie,225 g,2021-07-08 20:48:57,1.45
