website,item,product,time,price
CoolBlue,strijkdeken,Brabantia Strijkdeken 65x120 cm,2021-07-13 22:30:35,29.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8149/01,2021-07-13 22:30:55,569.99
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 8000 XC8049/01,2021-07-13 22:30:55,399.0
CoolBlue,steelstofzuiger,Dyson V8 Absolute +,2021-07-13 22:30:55,349.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra Pro,2021-07-13 22:30:55,699.0
CoolBlue,steelstofzuiger,Dyson V11 Torque Drive Extra,2021-07-13 22:30:55,499.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 6 BCS61BAT2,2021-07-13 22:30:55,279.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 760 RH9571,2021-07-13 22:30:55,399.95
CoolBlue,steelstofzuiger,Samsung Jet 75 Pro + Samsung Clean Station,2021-07-13 22:30:55,678.0
CoolBlue,steelstofzuiger,AEG QX9-1-ALRG,2021-07-13 22:30:55,329.0
CoolBlue,steelstofzuiger,Dyson V11 Absolute Extra,2021-07-13 22:30:55,549.0
CoolBlue,steelstofzuiger,Dyson V11 Parquet Extra,2021-07-13 22:30:55,499.0
CoolBlue,steelstofzuiger,Dyson V8 Animal +,2021-07-13 22:30:55,349.0
CoolBlue,steelstofzuiger,AEG QX8-1-45SM,2021-07-13 22:30:55,179.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max series 7000 XC7041/01,2021-07-13 22:30:55,289.0
CoolBlue,steelstofzuiger,Rowenta Air Force Flex 560 RH9474,2021-07-13 22:30:55,269.0
CoolBlue,steelstofzuiger,Bosch Unlimited Serie 8 BBS812AM,2021-07-13 22:30:55,399.0
CoolBlue,steelstofzuiger,Samsung Jet 75 Complete,2021-07-13 22:30:55,439.0
CoolBlue,steelstofzuiger,Dyson Cyclone V10 Motorhead,2021-07-13 22:30:55,449.0
CoolBlue,steelstofzuiger,Rowenta X-Force Flex 11.60 RH9879,2021-07-13 22:30:55,299.0
CoolBlue,steelstofzuiger,Philips SpeedPro Max Aqua series 8000 XC8147/01,2021-07-13 22:30:55,549.99
CoolBlue,steelstofzuiger,Veripart VPSS103 steelstofzuiger,2021-07-13 22:30:55,169.0
CoolBlue,steelstofzuiger,Dyson V10 Motorhead,2021-07-13 22:30:55,449.0
CoolBlue,vaatwasser,AEG FSB53907Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,699.0
CoolBlue,vaatwasser,AEG FSE63617P/ Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,679.0
CoolBlue,vaatwasser,Whirlpool WIO 3T141 PES / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,649.0
CoolBlue,vaatwasser,Whirlpool WIC 3C33 PE / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,549.0
CoolBlue,vaatwasser,AEG FSB52907Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,549.0
CoolBlue,vaatwasser,AEG FSB52617Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,569.0
CoolBlue,vaatwasser,Whirlpool WKIC 3C26 / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,449.0
CoolBlue,vaatwasser,Inventum VVW7040++ / Vrijstaand,2021-07-13 22:31:17,349.0
CoolBlue,vaatwasser,Inventum VVW7040S++ / Vrijstaand,2021-07-13 22:31:17,399.0
CoolBlue,vaatwasser,AEG FFB53600ZW / Vrijstaand,2021-07-13 22:31:17,549.0
CoolBlue,vaatwasser,AEG FSB53607Z / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,679.0
CoolBlue,vaatwasser,Bosch SPS4EMW28E / Vrijstaand,2021-07-13 22:31:17,589.0
CoolBlue,vaatwasser,Inventum VVW7080BS+++ / Vrijstaand,2021-07-13 22:31:17,469.0
CoolBlue,vaatwasser,Whirlpool OWFC 3C26 X / Vrijstaand,2021-07-13 22:31:17,429.0
CoolBlue,vaatwasser,ETNA VW339M / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,429.0
CoolBlue,vaatwasser,AEG FEE63600PM / Inbouw / Half geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,699.0
CoolBlue,vaatwasser,AEG FFB63700PM / Vrijstaand,2021-07-13 22:31:17,629.0
CoolBlue,vaatwasser,AEG FSE63757P / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,779.0
CoolBlue,vaatwasser,Whirlpool WFC 3C26 P / Vrijstaand,2021-07-13 22:31:17,429.0
CoolBlue,vaatwasser,AEG FSE73727P AirDry / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 90 cm,2021-07-13 22:31:17,799.0
CoolBlue,vaatwasser,ETNA VW249M / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,359.0
CoolBlue,vaatwasser,ATAG DW7114XB / Inbouw / Volledig geïntegreerd / Nishoogte 82 - 88 cm,2021-07-13 22:31:17,999.0
CoolBlue,printer,Canon i-Sensys MF643Cdw,2021-07-13 22:31:36,339.0
CoolBlue,printer,HP ENVY Photo 6234 All-in-One,2021-07-13 22:31:36,109.0
CoolBlue,printer,Epson EcoTank ET-2721,2021-07-13 22:31:36,219.0
CoolBlue,printer,Startpakket HP PageWide Pro 477dw,2021-07-13 22:31:36,1159.91
CoolBlue,printer,Canon i-Sensys MF643Cdw + zwarte toner + A4 papier,2021-07-13 22:31:36,450.99
CoolBlue,printer,HP PageWide Pro 477dw,2021-07-13 22:31:36,649.0
CoolBlue,printer,HP Deskjet 2710e,2021-07-13 22:31:36,59.95
CoolBlue,printer,HP ENVY 6022e All-in-One,2021-07-13 22:31:36,99.0
CoolBlue,printer,HP Color LaserJet Enterprise MFP M480f,2021-07-13 22:31:36,669.0
CoolBlue,printer,HP OfficeJet Pro 7740 All-in-One (G5J38A),2021-07-13 22:31:36,249.0
CoolBlue,printer,Epson EcoTank ET-3700,2021-07-13 22:31:36,339.0
CoolBlue,printer,Epson EcoTank ET-4750,2021-07-13 22:31:36,399.0
CoolBlue,printer,HP ENVY Photo 7830 All-in-One,2021-07-13 22:31:36,142.0
CoolBlue,printer,HP OfficeJet Pro 9012e All-in-One,2021-07-13 22:31:36,209.0
CoolBlue,printer,Canon PIXMA TS5150 Zwart,2021-07-13 22:31:36,95.0
CoolBlue,printer,HP LaserJet Pro MFP M28w,2021-07-13 22:31:36,169.0
CoolBlue,printer,Brother MFC-L3750CDW,2021-07-13 22:31:37,445.0
CoolBlue,printer,Epson EcoTank ET-5800,2021-07-13 22:31:37,799.0
CoolBlue,printer,Epson ET-2721 Startpakket,2021-07-13 22:31:37,294.99
CoolBlue,printer,Canon PIXMA MegaTank G3520,2021-07-13 22:31:37,229.0
CoolBlue,printer,HP Tango X,2021-07-13 22:31:37,188.0
CoolBlue,printer,HP Laser 107w,2021-07-13 22:31:37,138.99
CoolBlue,loopband,Flow Fitness Kingston Pro i,2021-07-13 22:31:57,699.0
CoolBlue,loopband,VirtuFit Run Fit Foldable,2021-07-13 22:31:57,499.0
CoolBlue,loopband,Tunturi FitRun 50i,2021-07-13 22:31:57,749.0
CoolBlue,loopband,Flow Fitness Kingston i,2021-07-13 22:31:57,599.0
CoolBlue,loopband,VirtuFit TR-100,2021-07-13 22:31:57,699.0
CoolBlue,loopband,Tunturi FitRun 90i PRO,2021-07-13 22:31:57,1399.0
CoolBlue,loopband,Tunturi FitRun 70i,2021-07-13 22:31:57,899.0
CoolBlue,loopband,VirtuFit TR-200i,2021-07-13 22:31:57,899.0
CoolBlue,loopband,Flow Fitness DTM300i,2021-07-13 22:31:57,799.0
CoolBlue,loopband,Flow Fitness Runner DTM100i WalkingPad,2021-07-13 22:31:57,599.0
CoolBlue,loopband,Flow Fitness DTM 400i,2021-07-13 22:31:57,999.0
CoolBlue,loopband,Tunturi FitRun 30,2021-07-13 22:31:57,729.0
CoolBlue,loopband,Tunturi FitRun 40i,2021-07-13 22:31:57,899.0
CoolBlue,loopband,Flow Fitness DTM200i,2021-07-13 22:31:57,699.0
CoolBlue,loopband,ProForm Performance 375i,2021-07-13 22:31:57,699.0
CoolBlue,tondeuse,Philips Series 7000 HC7650/15,2021-07-13 22:32:17,54.99
CoolBlue,tondeuse,Philips HC5650/15 + Philips QP2630/30,2021-07-13 22:32:17,84.99
